response,u,s,m,l,Saturation,theta,Hue,Luminance,Flushed,Clutch size,Laying date,Nest age,Year
1,0.023,0.289,0.338,0.351,0.000,0.549,441,2.278,Y,5,29.676,2,2016
1,0.029,0.199,0.229,0.542,7.079,1.123,676,0.518,Y,4,29.487,1,2015
1,0.029,0.157,0.193,0.622,9.904,1.130,677,0.107,Y,4,-10.324,1,2016
1,0.023,0.087,0.146,0.744,14.875,1.121,677,-0.574,Y,4,-15.513,1,2015
1,0.046,0.269,0.374,0.310,5.115,-0.072,557,0.254,N,4,-16.671,2,2014
1,0.035,0.425,0.310,0.230,6.434,-1.606,466,-0.258,Y,4,9.487,1,2015
1,0.042,0.492,0.280,0.186,9.414,-1.695,465,-1.027,Y,5,-9.513,1,2015
1,0.049,0.559,0.238,0.154,12.235,-1.774,465,-1.536,Y,5,-11.324,1,2016
1,0.056,0.258,0.354,0.332,6.298,0.247,518,0.249,N,5,8.329,4,2014
1,0.056,0.267,0.315,0.363,6.269,0.795,700,0.150,Y,5,15.329,2,2014
1,0.055,0.273,0.311,0.361,6.177,0.846,700,0.837,N,5,14.329,0,2014
1,0.055,0.268,0.318,0.359,6.086,0.755,700,0.263,Y,4,8.329,5,2014
1,0.052,0.253,0.374,0.322,5.902,0.079,520,-0.117,N,4,9.329,4,2014
1,0.057,0.272,0.310,0.362,6.340,0.857,700,0.282,Y,4,9.329,4,2014
1,0.053,0.261,0.301,0.384,6.043,0.941,700,-0.301,N,4,19.329,0,2014
1,0.055,0.270,0.268,0.406,6.837,1.190,700,1.528,Y,5,19.329,0,2014
1,0.043,0.238,0.363,0.357,4.697,0.376,575,-0.593,Y,4,-18.671,3,2014
0,0.036,0.424,0.310,0.230,6.480,-1.607,466,-0.149,Y,5,-17.324,0,2016
0,0.041,0.481,0.286,0.192,8.986,-1.679,465,-0.789,Y,5,-3.324,1,2016
0,0.048,0.554,0.242,0.156,11.997,-1.766,465,-1.458,Y,4,4.676,1,2016
1,0.041,0.204,0.332,0.424,5.546,0.724,700,-0.258,N,4,-17.671,2,2014
1,0.036,0.426,0.311,0.227,6.607,-1.600,466,-0.264,Y,4,-19.513,1,2015
1,0.041,0.480,0.288,0.191,8.997,-1.672,465,-0.850,Y,5,-8.513,1,2015
1,0.049,0.557,0.243,0.151,12.286,-1.758,465,-1.423,Y,5,27.676,3,2016
1,0.034,0.403,0.319,0.244,5.565,-1.555,466,0.230,Y,4,-2.324,1,2016
1,0.039,0.458,0.299,0.204,8.060,-1.638,466,-0.558,Y,5,-9.513,1,2015
1,0.048,0.548,0.252,0.152,11.985,-1.738,465,-1.373,Y,6,-18.513,1,2015
1,0.031,0.355,0.350,0.263,4.130,-1.180,500,0.290,Y,4,-16.324,2,2016
1,0.035,0.382,0.350,0.233,5.735,-1.294,500,-0.397,Y,4,-2.324,1,2016
1,0.041,0.429,0.341,0.189,8.351,-1.418,500,-1.225,Y,4,-2.324,1,2016
1,0.029,0.329,0.365,0.277,3.234,-0.833,503,0.390,Y,4,-2.324,2,2016
1,0.032,0.346,0.373,0.249,4.556,-0.989,502,-0.276,Y,5,27.676,3,2016
1,0.035,0.381,0.381,0.204,6.858,-1.144,502,-1.246,Y,5,-20.513,1,2015
1,0.026,0.296,0.380,0.297,2.273,-0.363,509,0.626,Y,4,17.487,1,2015
1,0.027,0.298,0.400,0.276,3.162,-0.495,511,0.099,Y,4,-3.324,1,2016
1,0.027,0.317,0.426,0.230,5.125,-0.711,510,-1.042,Y,4,-17.513,1,2015
1,0.022,0.245,0.403,0.331,2.543,0.054,527,1.340,Y,4,-4.513,1,2015
1,0.019,0.226,0.440,0.314,3.942,-0.058,526,0.931,Y,4,-7.513,1,2015
1,0.014,0.195,0.530,0.261,7.387,-0.231,526,-0.083,Y,5,-7.513,1,2015
1,0.021,0.214,0.419,0.347,3.694,0.146,538,1.504,Y,4,-2.324,1,2016
1,0.019,0.185,0.461,0.336,5.514,0.060,538,0.902,Y,5,14.487,1,2015
1,0.014,0.144,0.539,0.304,8.755,-0.063,538,0.135,Y,4,-18.513,1,2015
0,0.039,0.340,0.407,0.213,6.726,-0.886,523,1.143,Y,3,-21.671,7,2014
0,0.021,0.191,0.420,0.369,4.604,0.250,540,1.594,Y,3,22.487,1,2015
0,0.017,0.159,0.460,0.363,6.685,0.169,540,1.157,Y,4,-3.513,1,2015
1,0.013,0.120,0.539,0.328,10.035,0.015,540,0.328,Y,4,-16.513,1,2015
1,0.030,0.215,0.238,0.518,6.300,1.130,676,0.721,Y,4,-2.324,1,2016
1,0.030,0.176,0.203,0.591,8.874,1.139,676,0.214,Y,4,-16.324,1,2016
0,0.027,0.116,0.161,0.696,12.771,1.129,677,-0.545,Y,3,22.487,1,2015
1,0.038,0.209,0.371,0.382,4.784,0.448,577,-0.776,N,5,-18.671,2,2014
1,0.019,0.187,0.407,0.386,4.748,0.342,541,1.812,Y,4,-0.513,1,2015
1,0.017,0.158,0.433,0.391,6.509,0.299,541,1.592,Y,4,-17.513,0,2015
0,0.011,0.099,0.510,0.380,11.473,0.172,542,0.805,Y,5,-4.513,1,2015
0,0.039,0.218,0.369,0.374,4.686,0.427,576,-1.093,Y,5,-18.671,-1,2014
1,0.018,0.170,0.395,0.417,5.666,0.465,604,2.225,Y,4,-10.324,2,2016
0,0.016,0.133,0.411,0.441,8.151,0.472,614,2.134,Y,4,-11.324,1,2016
1,0.008,0.065,0.439,0.488,15.180,0.485,666,1.902,Y,4,-19.513,1,2015
1,0.024,0.173,0.271,0.532,6.653,0.985,629,0.795,Y,4,15.487,1,2015
1,0.022,0.143,0.241,0.594,8.847,1.026,630,0.500,Y,4,4.676,1,2016
1,0.016,0.086,0.187,0.710,13.583,1.069,670,-0.143,Y,5,-17.513,1,2015
1,0.026,0.185,0.245,0.544,6.903,1.066,641,0.681,Y,4,4.676,1,2016
1,0.026,0.155,0.216,0.603,9.058,1.089,667,0.271,Y,4,-10.324,1,2016
1,0.019,0.086,0.157,0.738,14.358,1.108,671,-0.428,Y,4,-17.513,1,2015
1,0.027,0.182,0.227,0.564,7.659,1.101,642,0.511,Y,4,-16.324,1,2016
1,0.026,0.146,0.195,0.632,10.108,1.114,669,0.073,Y,4,4.676,1,2016
1,0.021,0.093,0.156,0.730,14.042,1.115,672,-0.565,Y,5,-16.513,1,2015
1,0.050,0.217,0.333,0.400,6.223,0.681,700,0.649,Y,5,-10.671,0,2014
1,0.043,0.205,0.343,0.409,5.696,0.644,700,-0.056,Y,5,-8.671,2,2014
1,0.054,0.259,0.346,0.341,6.036,0.367,700,-0.344,Y,4,11.329,4,2014
0,0.030,0.227,0.240,0.503,5.886,1.149,675,0.562,Y,4,-6.513,1,2015
1,0.031,0.192,0.206,0.571,8.290,1.156,677,0.066,Y,4,15.487,1,2015
0,0.030,0.119,0.153,0.699,13.090,1.143,677,-0.668,Y,4,-18.513,1,2015
1,0.045,0.203,0.324,0.428,6.159,0.763,700,0.137,Y,4,-18.671,6,2014
1,0.045,0.369,0.373,0.214,7.301,-1.128,510,1.463,N,5,-13.671,0,2014
1,0.046,0.207,0.332,0.415,6.037,0.710,700,-0.244,Y,5,-8.671,2,2014
0,0.048,0.280,0.363,0.309,5.312,-0.112,557,0.870,N,5,-13.671,2,2014
0,0.051,0.260,0.359,0.331,5.609,0.201,566,2.374,Y,4,27.329,3,2014
1,0.048,0.278,0.369,0.306,5.351,-0.143,549,-0.027,Y,4,-15.671,3,2014
1,0.044,0.241,0.371,0.344,4.845,0.263,572,-0.434,Y,5,-11.671,1,2014
1,0.044,0.372,0.376,0.208,7.507,-1.132,510,0.276,N,5,-8.671,2,2014
1,0.047,0.355,0.369,0.229,6.915,-1.076,510,2.581,Y,5,-7.671,1,2014
1,0.030,0.247,0.253,0.470,4.840,1.165,675,0.729,Y,4,-17.513,1,2015
0,0.032,0.224,0.225,0.519,6.699,1.181,677,0.280,Y,4,4.676,1,2016
1,0.034,0.137,0.148,0.681,12.734,1.168,678,-0.614,Y,4,-2.324,1,2016
1,0.046,0.310,0.380,0.265,5.675,-0.666,526,1.533,N,5,-11.671,6,2014
0,0.050,0.311,0.369,0.270,6.064,-0.687,523,0.270,Y,5,-5.671,0,2014
1,0.047,0.242,0.358,0.353,5.217,0.377,575,-0.255,Y,4,-15.671,3,2014
0,0.043,0.331,0.390,0.235,6.273,-0.858,523,0.815,Y,3,-6.671,3,2014
1,0.060,0.270,0.302,0.368,6.789,0.942,700,-0.148,Y,4,20.329,6,2014
1,0.042,0.192,0.323,0.444,6.217,0.776,700,-0.241,Y,4,-14.671,1,2014
1,0.044,0.210,0.343,0.403,5.635,0.635,700,0.012,Y,4,-12.671,0,2014
1,0.048,0.234,0.461,0.256,7.204,-0.306,526,-1.667,Y,5,-7.671,0,2014
1,0.054,0.271,0.296,0.379,6.203,1.017,700,-0.642,N,4,-18.671,12,2014
0,0.044,0.363,0.381,0.213,7.163,-1.071,512,1.819,Y,4,26.329,3,2014
1,0.033,0.296,0.251,0.420,4.402,1.375,675,0.561,Y,4,84.487,1,2015
1,0.037,0.283,0.213,0.468,6.652,1.380,677,0.168,Y,5,29.676,2,2016
1,0.046,0.238,0.155,0.561,10.810,1.325,677,-0.696,Y,5,-4.513,1,2015
1,0.054,0.266,0.311,0.370,6.014,0.851,700,0.301,Y,4,25.329,1,2014
1,0.050,0.253,0.348,0.349,5.470,0.415,700,-0.921,Y,5,-9.671,2,2014
0,0.049,0.251,0.349,0.351,5.390,0.423,700,-0.539,N,5,-7.671,0,2014
1,0.056,0.269,0.300,0.375,6.332,0.970,700,-1.124,Y,4,-15.671,9,2014
0,0.054,0.288,0.271,0.388,6.473,1.281,700,0.044,Y,6,-14.671,5,2014
1,0.047,0.228,0.343,0.381,5.569,0.586,700,1.722,N,4,25.329,1,2014
1,0.049,0.237,0.453,0.260,7.115,-0.297,526,-2.178,Y,5,5.329,1,2014
0,0.052,0.289,0.366,0.293,5.929,-0.338,535,2.416,Y,5,20.329,5,2014
1,0.037,0.370,0.292,0.301,4.583,-1.995,440,-0.071,Y,3,58.487,1,2015
1,0.044,0.399,0.274,0.283,6.332,-1.966,440,-0.574,Y,5,-11.324,1,2016
1,0.063,0.439,0.232,0.266,9.572,-2.035,438,-1.543,Y,4,-7.513,1,2015
1,0.052,0.249,0.316,0.384,5.974,0.796,700,-1.729,Y,5,1.329,4,2014
1,0.053,0.250,0.313,0.384,6.087,0.821,700,-1.516,Y,4,-6.671,6,2014
1,0.053,0.252,0.381,0.314,6.180,0.003,525,-1.476,Y,4,-2.671,2,2014
1,0.050,0.215,0.326,0.409,6.324,0.732,700,1.946,Y,5,22.329,3,2014
1,0.043,0.199,0.324,0.434,6.075,0.764,700,0.522,Y,5,-6.671,2,2014
1,0.045,0.201,0.320,0.435,6.223,0.788,700,-0.376,N,5,-3.671,2,2014
1,0.049,0.268,0.369,0.314,5.413,-0.016,559,0.353,Y,4,-3.671,3,2014
0,0.042,0.358,0.393,0.207,7.230,-1.009,517,0.985,Y,3,-19.671,6,2014
1,0.038,0.400,0.300,0.263,5.615,-1.724,442,-0.148,Y,4,33.676,1,2016
1,0.045,0.443,0.278,0.234,7.831,-1.772,451,-0.865,Y,4,4.676,1,2016
1,0.058,0.496,0.242,0.204,10.658,-1.832,452,-1.644,Y,3,27.487,1,2015
1,0.051,0.246,0.396,0.307,6.040,-0.064,525,-0.062,Y,3,12.329,3,2014
1,0.043,0.370,0.383,0.204,7.488,-1.096,512,0.088,Y,5,-4.671,2,2014
0,0.050,0.238,0.443,0.269,6.904,-0.265,526,-0.059,Y,5,9.329,4,2014
0,0.046,0.300,0.386,0.269,5.609,-0.564,534,-0.223,Y,4,-3.671,3,2014
0,0.051,0.307,0.369,0.273,6.071,-0.628,524,-0.477,Y,5,2.329,3,2014
1,0.051,0.257,0.341,0.351,5.557,0.475,700,0.543,Y,3,22.329,5,2014
1,0.049,0.277,0.370,0.304,5.492,-0.155,549,-0.788,Y,5,5.329,0,2014
1,0.045,0.215,0.339,0.401,5.576,0.652,700,-0.227,Y,5,3.329,2,2014
1,0.045,0.207,0.330,0.418,5.904,0.722,700,-0.659,Y,5,-1.671,2,2014
1,0.048,0.265,0.370,0.316,5.372,0.007,560,0.028,Y,4,5.329,3,2014
0,0.042,0.349,0.393,0.216,6.848,-0.965,521,1.122,Y,4,-20.671,6,2014
1,0.039,0.430,0.301,0.231,6.873,-1.658,462,-0.405,Y,4,-11.324,2,2016
0,0.045,0.477,0.278,0.200,9.041,-1.715,462,-1.086,Y,4,-18.513,1,2015
1,0.053,0.540,0.238,0.169,11.743,-1.789,462,-1.570,Y,4,7.676,1,2016
1,0.051,0.254,0.351,0.344,5.581,0.358,574,-0.759,Y,5,-0.671,1,2014
1,0.050,0.214,0.319,0.417,6.382,0.778,700,-0.038,Y,5,6.329,0,2014
1,0.045,0.228,0.349,0.378,5.262,0.543,581,-1.456,N,4,-6.671,10,2014
1,0.056,0.273,0.305,0.366,6.279,0.928,700,-0.145,Y,5,7.329,6,2014
0,0.043,0.337,0.404,0.216,6.967,-0.880,524,0.267,Y,5,9.329,2,2014
1,0.058,0.258,0.327,0.356,6.544,0.623,700,0.590,Y,5,2.329,0,2014
0,0.052,0.285,0.300,0.363,5.745,1.045,700,0.285,Y,4,9.329,3,2014
0,0.053,0.251,0.368,0.328,6.014,0.148,520,-2.046,Y,3,10.329,3,2014
1,0.051,0.273,0.362,0.314,5.675,-0.021,557,1.495,Y,5,-0.671,2,2014
1,0.052,0.258,0.329,0.361,5.772,0.628,700,0.297,N,4,16.329,4,2014
1,0.044,0.295,0.401,0.261,5.627,-0.544,536,0.099,N,4,-20.671,2,2014
0,0.036,0.432,0.306,0.225,6.809,-1.623,465,-0.281,Y,4,-16.324,1,2016
0,0.042,0.495,0.278,0.185,9.514,-1.700,465,-0.967,Y,4,-2.324,2,2016
1,0.049,0.569,0.232,0.150,12.550,-1.781,465,-1.694,Y,4,26.487,1,2015
1,0.056,0.255,0.362,0.327,6.349,0.170,521,-1.207,Y,4,3.329,5,2014
0,0.055,0.268,0.342,0.335,6.041,0.340,700,-0.133,Y,4,11.329,4,2014
0,0.056,0.268,0.299,0.378,6.365,0.973,700,-0.637,Y,5,-2.671,3,2014
1,0.057,0.259,0.347,0.337,6.355,0.327,516,-1.271,Y,5,6.329,11,2014
1,0.053,0.262,0.311,0.374,5.976,0.845,700,-1.145,Y,4,11.329,4,2014
1,0.055,0.252,0.365,0.328,6.283,0.164,525,-1.147,Y,3,-1.671,5,2014
1,0.055,0.290,0.295,0.360,6.234,1.133,700,-0.679,Y,5,7.329,4,2014
1,0.055,0.251,0.370,0.324,6.276,0.117,525,-0.393,Y,4,27.329,1,2014
