AUDIO_FILE,FZ_SOUND_CODE 
1002_Abeebei_B24_7.10.13_22.8.wav,14099
1004_Abeebei_W32_7.11.13_23.3.wav,14100
1007_Abeebei_W38_7.11.13_24.2.WAV,14101
1009_Abeebei_B33_7.12.13_21.7.wav,14102
1012_Abeebei_B27_7.12.13_23.4.wav,14103
1040_Abeebei_W37_7.20.13_24.0.WAV,14104
1066_Abeebei_B47_7.30.13_24.6.wav,14109
1089_Abeebei_B57_8.9.13_22.8.WAV,14114
B024_Abeebei_B28_4.10.15_24.WAV,14121
C170_Abeebei_B44-8_6.1.15_23.2.WAV,14123
C173_Abeebei_B43-6_6.5.15_23.7.WAV,14124
C176_Abeebei_B44-6_6.11.15_23.2.WAV,14125
C187_Abeebei_B14-5_6.19.15_24.3.WAV,14126
C212_Abeebei_B54-5_7.10.15_24.2.WAV,14127
C214_Abeebei_Trans3_7.14.15_23.6.WAV,14128
C218_Abeebei_W61_7.16.15_22.8.WAV,14129
E060_Abeebei_BV67_5.21.16_24.2.WAV,14135
E061_Abeebei_BV1eye_5.21.16_24.4.WAV,14136
E065_Abeebei_BV87_5.28.16_23.4.WAV,14137
E069_Abeebei_BV11_6.1.16_23.2.WAV,14138